The Swamp - Gainesville, FL
Rocky Mountain Pizza - Atlanta, GA
Sublime Donuts - Atlanta, GA
Cinderella's Royal Table - Orlando, FL
50's Prime Time Cafe - Orlando, FL
Oyster House - Gulf Shores, AL
Mother's - New Orleans, LA
Acme Oyster Cafe - New Orleans, LA
Park - Cambridge, MA
Border Cafe - Cambridge, MA
Shooters Pub - Jerusalem, Israel
Taqueria La Parrilla - Athens, GA
Sunnyside Grill - Panama City Beach, FL
Dusty's Oysters - Panama City Beach, FL
Gnat's Landing - Statesboro, GA
Dimitri's Opa Bar Deck and Grill - Ormond Beach, FL
Mayflower Restaurant - Athens, GA
Biaggi's Ristorante Italiano - Unknown
Carrabba's - Athens, GA
Delta Business Elite - Airplane
Cafe Intermezzo - Atlanta, GA
Ornsby's - Atlanta, GA
Mellow Mushroom - Athens, GA
Mee Noodle Shop & Grill - New York City, NY
Clover Grill - New Orleans, LA
Blind Pig Tavern - Athens, GA
Chilli's - Athens, GA
Longhorse Steakhouse - Atlanta, GA
The Grill - Athens, GA
Jalisco - Atlanta, GA
Africa Lounge - Seattle, WA
Henry's Lousinana Grill - New Orleans, LA
Dinosaur Bar B Que - Brooklyn, NY
Twisted Taco - Atlanta, GA
Tin Drum - Atlanta, GA
Mama Niki's Pizza - Atlanta, GA
Schlotzsky's - Athens, GA
O'Charley's - Atlanta, GA
J. Christopher's - Sandy Springs, GA
Five Star Day Cafe - Athens, GA
Huddle House - Pine Mountain, GA
Steak 'n Shake - Sandy Springs, GA
The Tenth - Atlanta, GA
Figo - Atlanta, GA
Waffle House - Sandy Springs, GA
Studio Movie Grill - Alpharetta, GA
Last Resort Grill - Athens, GA
Hudson Grill - Sandy Springs, GA
The Flying Biscuit Cafe - Sandy Springs, GA
El Azteca - Sandy Springs, GA
Napoli Pizzeria - Sandy Springs, GA
Pineapple Willy's - Panama City Beach, FL
The Hearth - Sandy Springs, GA
Ray's New York PIzza - Sandy Springs, GA
Mellow Mushroom - Sandy Springs, GA
La Parilla - Atlanta, GA
El Azteca - Athens, GA
Roasters - Sandy Springs, GA
Ye Olde Dunwoody Taaver - Dunwoody, GA
Bahama Bob's - Gulf Shores, AL
Agua Linda - Athens, GA
Lucy's - New Orleans, LA
Noodle - Atlanta, GA
Iron Horse Station - Hot Springs, NC
Cafe Maspero - New Orleans, LA
Transmetropolitan - Athens, GA
Doors Pub & Uptown Pizza - New Orleans, LA
TJ's - Alpharetta, GA
Nuevo Laredo - Atlanta, GA
Bubba Gump Shrimp Co - Orlando, FL
The Cheesecake Factory - Atlanta, GA
Smoothie King - Atlanta, GA
Johnny Rockets - Sandy Springs, GA
Garcia's - Atlanta, GA
DePalma's - Athens, GA
Porterhouse - Athens, GA
